frame,track_id,class_name,confidence,cx,cy,x1,y1,x2,y2,camera_dx,camera_dy,depth_meters,speed_ms,speed_kmh
1,1,car,0.7678,542.5,67.0,528,56,557,78,0.0,0.0,25.509,0.0,0.0
1,2,car,0.6765,387.5,74.0,372,59,403,89,0.0,0.0,23.115,0.0,0.0
1,3,car,0.6571,76.5,67.0,52,51,101,83,0.0,0.0,21.56,0.0,0.0
1,4,car,0.6483,146.0,36.0,129,26,163,46,0.0,0.0,32.713,0.0,0.0
1,5,car,0.6045,218.5,12.0,207,4,230,20,0.0,0.0,49.053,0.0,0.0
1,6,car,0.5845,250.5,22.5,238,13,263,32,0.0,0.0,38.718,0.0,0.0
1,7,truck,0.4658,449.5,51.0,425,9,474,93,0.0,0.0,22.192,0.0,0.0
1,8,bus,0.3715,449.5,50.5,425,8,474,93,0.0,0.0,22.203,0.0,0.0
1,9,car,0.2989,512.5,36.0,500,17,525,55,0.0,0.0,32.121,0.0,0.0
1,10,car,0.2784,512.5,41.5,499,27,526,56,0.0,0.0,31.657,0.0,0.0
2,1,car,0.7467,542.5,65.5,528,55,557,76,-0.053,-0.309,25.556,0.0,0.0
2,2,car,0.7099,388.5,71.0,374,57,403,85,-0.053,-0.309,23.364,0.0,0.0
2,3,car,0.7797,68.5,69.5,43,53,94,86,-0.053,-0.309,21.24,0.0,0.0
2,4,car,0.7399,142.0,36.0,125,26,159,46,-0.053,-0.309,32.71,0.0,0.0
2,5,car,0.4546,218.0,11.5,206,3,230,20,-0.053,-0.309,49.413,0.0,0.0
2,6,car,0.6471,248.0,21.5,235,12,261,31,-0.053,-0.309,38.811,0.0,0.0
2,7,bus,0.3676,448.5,49.5,424,8,473,91,-0.053,-0.309,22.203,0.0,0.0
2,8,truck,0.3352,448.5,49.0,424,7,473,91,-0.053,-0.309,22.22,0.0,0.0
3,1,car,0.6806,541.5,64.5,527,54,556,75,-0.008,-0.146,25.644,0.0,0.0
3,2,car,0.6873,390.0,69.5,376,56,404,83,-0.008,-0.146,23.968,0.0,0.0
3,3,car,0.6936,63.5,71.0,39,54,88,88,-0.008,-0.146,20.87,0.0,0.0
3,4,car,0.62,139.5,37.0,122,27,157,47,-0.008,-0.146,32.622,0.0,0.0
3,5,car,0.4843,216.0,12.0,204,3,228,21,-0.008,-0.146,49.108,0.0,0.0
3,6,car,0.5864,246.0,22.5,232,13,260,32,-0.008,-0.146,38.843,0.0,0.0
3,7,bus,0.3398,449.0,49.0,425,9,473,89,-0.008,-0.146,22.163,0.0,0.0
3,8,truck,0.353,448.5,48.5,425,8,472,89,-0.008,-0.146,22.152,0.0,0.0
4,1,car,0.636,539.5,62.0,525,51,554,73,-0.023,-0.059,26.697,0.0,0.0
4,2,car,0.7531,391.0,66.5,377,54,405,79,-0.023,-0.059,26.044,0.0,0.0
4,3,car,0.519,55.0,74.5,29,58,81,91,-0.023,-0.059,20.616,0.0,0.0
4,4,car,0.5281,136.0,38.0,118,28,154,48,-0.023,-0.059,32.726,0.0,0.0
4,5,car,0.4237,214.0,12.5,202,4,226,21,-0.023,-0.059,48.867,0.0,0.0
4,6,car,0.6628,243.0,24.0,229,14,257,34,-0.023,-0.059,38.818,0.0,0.0
4,8,bus,0.3193,448.0,45.5,425,5,471,86,-0.023,-0.059,22.175,0.0,0.0
5,1,car,0.7407,539.0,59.5,525,48,553,71,0.003,-0.042,28.494,6.77,24.371
5,2,car,0.574,391.5,64.0,377,52,406,76,0.003,-0.042,27.16,9.814,35.329
5,3,car,0.6992,45.5,77.5,18,60,73,95,0.003,-0.042,20.694,6.065,21.832
5,4,car,0.7308,133.0,38.5,115,29,151,48,0.003,-0.042,32.948,4.043,14.557
5,5,car,0.49,212.5,13.0,201,4,224,22,0.003,-0.042,48.782,3.884,13.983
5,6,car,0.7175,240.5,24.5,226,14,255,35,0.003,-0.042,39.004,4.039,14.539
5,8,bus,0.4572,448.5,43.5,426,4,471,83,0.003,-0.042,22.173,1.482,5.336
5,9,car,0.3672,510.5,33.5,498,17,523,50,0.003,-0.042,32.492,0.0,0.0
6,1,car,0.7959,538.5,58.5,524,47,553,70,-0.016,0.019,29.26,9.409,33.874
6,2,car,0.6276,392.5,63.0,378,52,407,74,-0.016,0.019,27.536,11.478,41.319
6,3,car,0.7358,36.0,80.5,7,63,65,98,-0.016,0.019,20.864,6.712,24.162
6,4,car,0.7019,129.0,40.5,112,31,146,50,-0.016,0.019,32.783,4.64,16.704
6,5,car,0.5868,210.5,14.0,198,5,223,23,-0.016,0.019,48.632,4.193,15.096
6,6,car,0.7457,238.0,25.5,224,15,252,36,-0.016,0.019,39.138,4.177,15.038
6,8,bus,0.4144,448.0,41.5,426,3,470,80,-0.016,0.019,22.172,1.6,5.761
6,9,car,0.338,510.5,33.0,498,17,523,49,-0.016,0.019,32.566,0.0,0.0
7,1,car,0.7412,538.0,57.0,524,46,552,68,-0.008,-0.152,30.065,11.694,42.099
7,2,car,0.6525,393.0,60.5,378,49,408,72,-0.008,-0.152,28.363,13.253,47.709
7,3,car,0.4171,25.0,82.0,0,65,50,99,-0.008,-0.152,21.388,7.92,28.513
7,4,car,0.6628,125.0,41.5,107,31,143,52,-0.008,-0.152,32.925,5.005,18.018
7,5,car,0.5407,208.5,14.0,195,5,222,23,-0.008,-0.152,48.989,4.05,14.58
7,6,car,0.6681,235.0,26.0,221,15,249,37,-0.008,-0.152,39.722,5.032,18.116
7,8,bus,0.3921,447.5,39.5,426,2,469,77,-0.008,-0.152,22.172,1.612,5.802
7,9,car,0.479,510.0,32.5,497,17,523,48,-0.008,-0.152,32.831,0.0,0.0
7,12,truck,0.4131,447.5,42.0,426,7,469,77,-0.008,-0.152,22.053,0.0,0.0
8,1,car,0.6977,537.5,56.0,524,45,551,67,0.003,-0.0,30.627,13.233,47.64
8,2,car,0.7591,394.0,59.0,380,48,408,70,0.003,-0.0,28.896,14.337,51.612
8,3,car,0.3742,20.5,85.5,0,68,41,103,0.003,-0.0,21.247,6.888,24.798
8,4,car,0.7211,121.0,43.0,102,32,140,54,0.003,-0.0,32.787,5.168,18.604
8,5,car,0.5484,206.5,14.5,193,6,220,23,0.003,-0.0,49.103,4.01,14.434
8,6,car,0.6223,232.0,28.5,218,18,246,39,0.003,-0.0,39.328,5.398,19.433
8,8,bus,0.3811,447.5,39.0,426,2,469,76,0.003,-0.0,22.174,1.241,4.468
8,9,car,0.5895,509.5,31.5,497,16,522,47,0.003,-0.0,33.009,1.765,6.355
8,12,truck,0.4424,447.5,40.5,426,4,469,77,0.003,-0.0,22.142,0.0,0.0
8,13,car,0.4254,679.5,401.5,605,334,754,469,0.003,-0.0,5.495,0.0,0.0
9,1,car,0.6637,536.5,54.5,524,44,549,65,-0.043,-0.079,31.508,14.82,53.353
9,2,car,0.6363,395.0,56.5,381,46,409,67,-0.043,-0.079,29.657,15.506,55.822
9,4,car,0.7037,117.0,44.0,98,33,136,55,-0.043,-0.079,32.834,5.239,18.862
9,5,car,0.5732,204.0,16.0,191,7,217,25,-0.043,-0.079,48.647,4.66,16.776
9,6,car,0.7022,229.5,30.0,215,19,244,41,-0.043,-0.079,39.138,5.09,18.322
9,8,truck,0.3867,447.0,37.0,425,1,469,73,-0.043,-0.079,22.248,1.439,5.181
9,9,car,0.55,509.0,30.5,496,15,522,46,-0.043,-0.079,33.872,3.278,11.801
9,12,bus,0.3939,447.0,38.0,425,2,469,74,-0.043,-0.079,22.215,0.0,0.0
9,13,car,0.3695,666.0,384.5,597,317,735,452,-0.043,-0.079,5.751,0.0,0.0
10,1,car,0.6388,535.5,52.5,523,43,548,62,-0.029,-0.017,32.409,16.452,59.229
10,2,car,0.6191,395.0,54.5,381,44,409,65,-0.029,-0.017,30.293,16.343,58.835
10,4,car,0.7006,113.5,45.0,94,34,133,56,-0.029,-0.017,32.639,4.989,17.959
10,5,car,0.6087,203.0,17.0,190,8,216,26,-0.029,-0.017,48.256,4.613,16.607
10,6,car,0.6562,226.5,31.0,212,20,241,42,-0.029,-0.017,39.252,5.077,18.277
10,8,truck,0.509,447.0,36.5,425,1,469,72,-0.029,-0.017,22.257,1.151,4.142
10,9,car,0.4734,508.5,29.5,496,14,521,45,-0.029,-0.017,34.487,4.959,17.852
10,13,car,0.6386,654.0,363.0,591,301,717,425,-0.029,-0.017,6.112,0.0,0.0
10,3,car,0.3937,15.0,91.0,0,72,30,110,-0.029,-0.017,20.866,6.681,24.05
11,1,car,0.6827,534.0,52.0,522,42,546,62,-0.032,-0.025,31.341,14.641,52.706
11,2,car,0.613,396.0,51.5,382,40,410,63,-0.032,-0.025,31.289,17.681,63.653
11,4,car,0.8067,109.5,46.0,90,34,129,58,-0.032,-0.025,29.571,8.407,30.265
11,5,car,0.6604,201.0,17.0,187,8,215,26,-0.032,-0.025,46.665,6.601,23.763
11,6,car,0.5947,223.5,32.0,208,21,239,43,-0.032,-0.025,33.903,11.701,42.124
11,8,truck,0.4898,447.0,35.5,425,1,469,70,-0.032,-0.025,29.195,11.878,42.76
11,9,car,0.4109,508.0,29.0,496,14,520,44,-0.032,-0.025,39.981,14.286,51.43
11,13,car,0.5643,642.0,341.0,583,284,701,398,-0.032,-0.025,6.056,0.0,0.0
11,3,car,0.5122,10.5,92.5,0,75,21,110,-0.032,-0.025,20.859,5.615,20.213
12,1,car,0.6679,532.5,50.0,520,39,545,61,-0.081,-0.085,31.527,14.105,50.778
12,2,car,0.6565,396.5,49.5,383,38,410,61,-0.081,-0.085,31.552,17.745,63.882
12,4,car,0.7802,105.0,47.5,85,36,125,59,-0.081,-0.085,29.221,9.305,33.496
12,5,car,0.5799,199.0,17.5,185,8,213,27,-0.081,-0.085,46.657,6.989,25.159
12,6,car,0.6364,220.5,33.5,205,23,236,44,-0.081,-0.085,33.633,13.239,47.661
12,8,truck,0.3661,447.0,35.5,425,2,469,69,-0.081,-0.085,29.195,14.118,50.823
12,9,car,0.3687,507.0,28.0,495,13,519,43,-0.081,-0.085,40.205,19.107,68.786
12,13,car,0.5488,632.0,321.0,578,268,686,374,-0.081,-0.085,6.333,5.319,19.149
12,21,truck,0.5229,634.5,323.0,579,269,690,377,-0.081,-0.085,6.303,0.0,0.0
13,1,car,0.7154,531.5,47.5,519,36,544,59,-0.071,-0.013,32.067,13.834,49.801
13,2,car,0.6974,397.5,47.5,385,35,410,60,-0.071,-0.013,31.95,17.689,63.681
13,4,car,0.738,101.0,49.0,81,37,121,61,-0.071,-0.013,28.952,9.93,35.747
13,5,car,0.543,196.0,18.5,182,9,210,28,-0.071,-0.013,46.655,7.267,26.16
13,6,car,0.7611,217.0,35.5,202,25,232,46,-0.071,-0.013,33.374,14.268,51.366
13,8,truck,0.3585,447.0,35.5,426,4,468,67,-0.071,-0.013,29.148,15.39,55.406
13,9,car,0.3469,506.5,27.5,495,13,518,42,-0.071,-0.013,40.263,20.839,75.022
13,13,truck,0.5403,622.0,302.5,571,255,673,350,-0.071,-0.013,6.83,5.476,19.715
14,1,car,0.7463,531.0,46.0,519,35,543,57,-0.001,-0.047,32.591,13.628,49.06
14,2,car,0.7163,399.0,45.5,387,34,411,57,-0.001,-0.047,33.082,18.029,64.903
14,4,car,0.6963,96.5,50.0,76,38,117,62,-0.001,-0.047,28.844,10.218,36.786
14,5,car,0.5489,194.0,18.5,180,9,208,28,-0.001,-0.047,46.774,7.106,25.58
14,6,car,0.7464,213.0,36.0,197,25,229,47,-0.001,-0.047,33.616,14.453,52.031
14,9,car,0.4146,506.5,27.0,495,13,518,41,-0.001,-0.047,40.353,20.861,75.099
14,13,car,0.432,615.0,285.5,566,241,664,330,-0.001,-0.047,8.086,6.893,24.814
14,25,car,0.5683,473.5,402.5,418,335,529,470,-0.001,-0.047,5.637,0.0,0.0
