track_id,class_name,first_frame,last_frame,total_frames,avg_speed_kmh,max_speed_kmh,min_speed_kmh,avg_depth_m,status
1,car,1,47,47,71.8,108.4,24.37,41.76,moving
2,car,1,33,33,70.08,103.78,35.33,35.79,moving
3,car,1,11,10,23.93,28.51,20.21,21.02,moving
4,car,1,28,28,33.72,47.17,14.56,29.0,moving
5,car,1,65,65,33.96,53.95,13.98,40.54,moving
6,car,1,47,47,47.46,64.74,14.54,29.58,moving
7,truck,1,3,3,0.0,0.0,0.0,22.19,slow/stationary
8,bus,1,30,21,49.06,87.62,4.14,27.86,moving
9,car,1,31,25,60.14,78.25,6.36,40.56,moving
10,car,1,1,1,0.0,0.0,0.0,31.66,slow/stationary
12,truck,7,9,3,0.0,0.0,0.0,22.14,slow/stationary
13,car,8,30,20,35.08,50.54,19.15,9.55,moving
21,truck,12,12,1,0.0,0.0,0.0,6.3,slow/stationary
25,car,14,90,75,58.63,100.53,20.39,26.33,moving
28,car,16,97,79,64.42,108.9,30.18,32.92,moving
35,car,28,30,3,0.0,0.0,0.0,12.3,slow/stationary
40,traffic light,34,34,1,0.0,0.0,0.0,54.89,slow/stationary
41,car,38,118,81,71.6,116.98,23.61,32.24,moving
42,car,39,89,51,69.34,100.68,30.04,37.04,moving
47,car,46,128,83,59.94,102.49,19.28,28.33,moving
48,car,53,135,83,65.33,104.21,16.62,29.59,moving
49,car,55,77,23,58.18,75.57,26.33,14.0,moving
61,truck,69,129,59,81.65,125.53,37.72,36.89,moving
62,car,75,171,92,57.63,89.77,20.55,30.28,moving
70,suitcase,85,169,81,69.51,98.54,22.19,32.2,moving
71,car,86,133,48,81.9,129.11,21.2,33.6,moving
76,car,91,106,16,41.65,53.65,32.97,10.79,moving
85,truck,104,150,43,50.44,83.33,20.04,23.64,moving
89,car,110,110,1,0.0,0.0,0.0,46.51,slow/stationary
92,car,117,180,62,47.95,76.05,22.3,20.13,moving
93,car,118,202,85,53.74,122.85,17.85,24.31,moving
96,car,130,203,74,60.16,135.82,19.48,23.87,moving
100,car,158,207,50,78.78,116.31,43.82,26.28,moving
104,car,177,214,38,43.04,67.29,32.42,33.87,moving
107,car,179,239,61,42.91,69.79,21.41,35.77,moving
108,car,183,268,86,65.23,121.64,20.39,31.11,moving
109,car,185,257,73,70.93,123.5,23.41,29.71,moving
110,car,187,190,4,0.0,0.0,0.0,37.98,slow/stationary
113,car,201,262,61,66.92,102.65,20.13,24.8,moving
119,traffic light,216,219,4,0.0,0.0,0.0,65.08,slow/stationary
123,car,221,306,82,63.73,90.37,19.94,30.95,moving
125,car,226,330,102,53.57,78.25,16.71,30.14,moving
127,car,231,248,17,54.16,74.83,30.82,11.7,moving
131,truck,237,237,1,0.0,0.0,0.0,10.43,slow/stationary
132,car,240,321,78,63.9,90.97,45.34,35.1,moving
135,car,260,335,75,60.28,117.19,29.39,26.2,moving
136,car,264,288,24,30.5,52.26,13.02,10.29,moving
138,truck,275,279,4,0.0,0.0,0.0,11.35,slow/stationary
145,car,283,334,51,82.89,122.99,16.61,29.52,moving
147,truck,286,360,67,52.21,97.38,14.91,28.32,moving
155,car,304,366,61,45.16,87.94,18.86,41.81,moving
159,car,313,374,58,60.55,85.24,30.48,40.8,moving
168,car,329,385,55,68.82,100.27,19.24,36.19,moving
169,car,332,334,2,0.0,0.0,0.0,43.09,slow/stationary
172,car,337,440,100,53.75,85.88,18.29,29.75,moving
183,car,346,450,100,50.07,99.34,15.97,27.85,moving
185,car,347,390,43,83.95,102.44,62.65,29.65,moving
190,car,348,407,55,96.95,165.59,50.41,44.03,moving
195,car,354,446,85,66.39,138.14,23.36,30.72,moving
200,car,360,400,41,56.72,79.01,23.9,26.2,moving
203,car,361,390,27,38.82,52.29,15.9,56.95,moving
206,car,364,437,45,51.55,79.06,29.29,49.97,moving
213,car,374,378,5,12.13,12.13,12.13,25.24,moving
215,car,375,480,100,55.17,100.18,16.35,29.51,moving
224,car,384,424,41,72.51,100.27,20.39,36.86,moving
244,car,392,507,111,55.12,147.87,20.55,31.46,moving
264,car,402,452,51,73.46,110.15,18.21,39.81,moving
268,truck,415,418,4,0.0,0.0,0.0,27.04,slow/stationary
270,car,416,481,63,64.83,96.19,27.34,45.05,moving
271,car,417,494,78,59.93,85.54,23.53,27.46,moving
277,car,425,437,10,88.69,99.87,74.13,37.13,moving
281,car,427,490,63,75.88,107.86,44.66,42.87,moving
283,car,429,431,3,0.0,0.0,0.0,28.65,slow/stationary
286,car,438,513,76,61.14,125.45,22.69,25.58,moving
296,car,456,456,1,0.0,0.0,0.0,24.0,slow/stationary
298,car,458,576,118,51.14,83.31,17.49,31.8,moving
327,car,496,553,58,67.61,112.44,18.65,34.29,moving
328,car,500,541,42,79.86,121.28,25.86,40.59,moving
332,car,502,598,97,51.29,76.34,15.76,27.43,moving
336,truck,504,530,25,39.14,60.68,23.48,12.54,moving
357,car,522,558,37,42.91,65.13,20.64,36.03,moving
362,truck,526,587,60,58.6,89.22,22.43,35.03,moving
363,car,526,577,52,50.9,88.25,15.99,39.05,moving
370,car,554,644,91,47.46,118.13,21.53,22.64,moving
379,car,569,625,57,75.82,107.21,42.41,31.01,moving
383,car,572,613,42,72.18,111.8,19.17,37.13,moving
384,car,577,579,3,0.0,0.0,0.0,22.72,slow/stationary
390,car,619,731,113,57.68,106.19,18.11,32.23,moving
392,car,636,708,73,67.62,121.5,23.08,27.06,moving
399,car,654,697,44,79.16,103.21,23.15,40.5,moving
404,car,659,723,64,78.57,112.02,55.87,32.95,moving
405,car,664,774,111,55.94,105.5,13.19,31.47,moving
409,car,689,773,84,62.89,110.41,24.24,27.83,moving
418,car,697,747,51,86.38,148.5,48.34,44.87,moving
420,car,698,759,59,88.83,135.54,55.07,33.19,moving
421,truck,700,722,17,31.73,40.1,27.76,21.93,moving
435,car,722,726,5,15.31,15.31,15.31,18.01,moving
438,car,736,797,62,72.41,97.56,44.92,41.79,moving
440,car,740,766,27,31.49,44.91,21.64,24.58,moving
441,car,747,751,5,22.21,22.21,22.21,27.84,moving
443,car,752,752,1,0.0,0.0,0.0,48.0,slow/stationary
446,car,754,831,78,70.91,101.98,17.49,31.08,moving
451,car,756,844,89,61.05,99.86,20.11,30.01,moving
465,car,774,810,37,54.7,70.95,31.98,39.85,moving
467,car,789,848,58,60.94,94.53,23.7,23.47,moving
468,car,792,874,83,62.55,99.64,16.46,28.2,moving
470,car,793,839,47,71.18,125.42,21.82,47.47,moving
472,car,794,900,96,61.89,94.97,20.2,32.04,moving
475,car,797,801,5,22.12,22.12,22.12,22.05,moving
477,car,803,812,10,38.79,44.42,35.13,9.64,moving
494,car,813,876,59,60.9,92.03,31.69,26.9,moving
497,car,815,857,43,80.95,120.86,20.22,35.78,moving
498,car,818,897,73,59.29,92.22,23.95,25.05,moving
501,car,833,868,36,52.41,90.76,24.88,38.19,moving
503,car,834,900,66,52.01,79.7,12.8,21.83,moving
505,car,836,838,3,0.0,0.0,0.0,58.22,slow/stationary
506,car,839,844,6,52.55,55.31,49.79,31.58,moving
509,car,843,884,42,72.64,104.66,25.11,43.46,moving
511,car,846,928,83,61.11,108.99,17.23,27.96,moving
512,car,846,897,52,74.08,118.64,27.72,45.4,moving
513,car,849,921,68,57.86,100.44,25.44,24.54,moving
518,car,857,860,4,0.0,0.0,0.0,22.47,slow/stationary
522,car,861,865,5,24.32,24.32,24.32,38.04,moving
526,car,868,870,3,0.0,0.0,0.0,26.68,slow/stationary
533,car,877,951,75,47.08,82.97,23.15,21.3,moving
540,car,883,883,1,0.0,0.0,0.0,74.57,slow/stationary
547,car,886,944,59,86.89,138.7,16.15,30.43,moving
555,car,891,942,51,68.11,89.75,12.03,34.53,moving
556,car,892,939,48,60.66,89.42,18.34,41.93,moving
559,truck,900,900,1,0.0,0.0,0.0,14.84,slow/stationary
560,car,901,968,64,65.12,107.89,23.23,23.9,moving
561,car,902,918,17,56.4,84.01,9.05,42.59,moving
