frame,track_id,class_name,confidence,x1,y1,x2,y2,pixel_speed_px_per_frame
1,1,bus,0.7431,1465,188,1766,671,0.0
1,2,car,0.6958,462,169,532,261,0.0
1,3,car,0.6746,492,133,552,178,0.0
1,4,bus,0.6253,1074,23,1168,142,0.0
1,5,bus,0.6022,1,537,378,1064,0.0
1,6,car,0.5855,634,127,715,193,0.0
1,7,bus,0.4362,386,97,479,178,0.0
1,8,truck,0.4185,325,120,419,223,0.0
1,9,bus,0.293,323,119,420,231,0.0
1,10,truck,0.2812,388,99,478,179,0.0
2,1,bus,0.7868,1465,191,1764,671,2.236
2,2,car,0.7459,466,175,531,260,2.236
2,3,car,0.6838,490,133,551,179,2.236
2,4,bus,0.7458,1074,26,1167,143,2.236
2,5,bus,0.6052,3,532,384,1064,4.472
2,6,car,0.6009,634,127,714,192,1.0
2,7,bus,0.4844,387,97,477,176,1.0
2,9,bus,0.4833,324,119,419,229,1.0
3,1,bus,0.7155,1465,192,1765,673,1.5
3,2,car,0.6938,460,163,533,259,2.062
3,3,car,0.6694,491,133,551,178,0.5
3,4,bus,0.5856,1072,25,1166,144,1.414
3,5,bus,0.4953,1,521,390,1064,5.0
3,6,car,0.5578,634,126,715,192,0.5
3,7,bus,0.6167,386,97,480,179,0.707
3,9,bus,0.5666,324,119,418,228,1.0
4,1,bus,0.793,1464,193,1767,680,2.333
4,2,car,0.6494,457,160,532,259,2.236
4,3,car,0.6515,491,133,551,178,0.333
4,4,bus,0.6441,1072,24,1167,144,0.943
4,5,bus,0.5614,2,517,394,1065,4.243
4,6,car,0.5603,634,126,715,192,0.333
4,7,bus,0.5195,387,97,480,179,0.471
4,9,bus,0.4624,323,119,418,228,0.745
5,1,bus,0.7887,1464,193,1770,684,2.305
5,2,car,0.6485,458,161,533,259,1.346
5,3,car,0.694,491,133,552,178,0.25
5,4,bus,0.4767,1073,25,1166,143,0.707
5,5,bus,0.4649,3,513,398,1064,4.07
5,6,car,0.581,634,126,714,192,0.25
5,7,bus,0.5006,386,97,479,179,0.25
5,9,bus,0.3491,322,119,417,229,0.559
6,1,bus,0.7708,1465,195,1772,686,2.462
6,2,car,0.6488,462,170,530,259,0.901
6,3,car,0.6979,490,133,551,179,0.0
6,5,bus,0.4749,4,509,402,1064,3.905
6,6,car,0.553,634,126,714,191,0.25
6,7,bus,0.5272,386,96,479,177,0.0
6,9,bus,0.3513,313,118,411,230,2.25
7,1,bus,0.778,1467,195,1775,688,2.704
7,2,car,0.6564,465,181,526,259,2.264
7,3,car,0.6854,491,133,551,178,0.0
7,6,car,0.5697,634,127,714,192,0.0
7,7,bus,0.4963,386,96,480,179,0.25
7,9,bus,0.5138,314,119,412,230,2.016
8,1,bus,0.8217,1468,196,1777,690,2.475
8,2,car,0.6624,469,189,525,259,3.824
8,3,car,0.6671,491,132,552,177,0.25
8,6,car,0.526,634,126,713,190,0.354
8,7,bus,0.6178,385,97,481,181,0.25
8,9,bus,0.5354,314,119,412,230,1.768
8,5,bus,0.3502,4,500,409,1064,2.973
9,1,bus,0.8278,1468,196,1778,691,1.953
9,2,car,0.6833,470,192,524,259,3.783
9,3,car,0.6874,490,132,551,178,0.25
9,6,car,0.5287,634,126,714,191,0.25
9,7,bus,0.6439,385,97,482,183,0.559
9,9,bus,0.5316,299,119,401,230,4.75
9,5,bus,0.3301,4,495,413,1063,3.124
10,1,bus,0.7636,1468,196,1780,694,1.953
10,2,car,0.6752,470,193,523,258,2.75
10,3,car,0.6883,490,132,551,178,0.25
10,6,car,0.5144,634,126,714,191,0.0
10,7,bus,0.5903,386,97,481,182,0.791
10,9,bus,0.4838,297,118,402,231,3.25
10,5,bus,0.3209,5,489,417,1061,3.406
10,4,bus,0.2776,1078,26,1168,140,0.395
11,1,bus,0.7691,1467,196,1780,696,1.346
11,2,car,0.6232,471,194,524,256,1.346
11,3,car,0.6512,491,133,551,178,0.0
11,6,car,0.5112,634,126,713,190,0.354
11,7,bus,0.4592,388,99,479,180,0.5
11,9,bus,0.6119,305,115,410,228,1.677
11,5,bus,0.3467,4,483,421,1061,3.329
11,4,bus,0.3759,1077,26,1168,141,0.395
12,1,bus,0.6806,1467,197,1782,699,1.346
12,2,car,0.6211,470,192,525,256,0.0
12,3,car,0.6461,491,133,551,178,0.25
12,6,car,0.5133,633,126,711,189,0.354
12,7,bus,0.5676,389,99,477,177,0.25
12,9,bus,0.6287,306,115,412,228,1.25
12,5,bus,0.4601,3,478,424,1061,3.691
12,4,bus,0.4011,1077,26,1169,142,0.5
13,1,bus,0.7865,1466,197,1782,701,1.521
13,2,car,0.6203,461,172,532,255,3.01
13,3,car,0.6297,491,133,551,178,0.25
13,6,car,0.4813,632,126,712,191,0.5
13,7,bus,0.6184,389,98,479,178,0.559
13,9,bus,0.606,305,115,410,227,1.904
13,5,bus,0.5176,2,472,428,1061,3.691
13,4,truck,0.2867,1077,26,1169,141,0.515
14,1,bus,0.8647,1465,197,1783,704,1.25
14,2,car,0.6144,458,165,534,255,3.75
14,3,car,0.6744,491,133,551,178,0.25
14,6,car,0.4685,632,125,712,191,0.5
14,7,bus,0.6444,387,97,481,180,0.354
14,9,bus,0.7359,308,113,413,224,3.132
14,5,bus,0.3024,2,467,433,1063,2.915
14,4,truck,0.2764,1077,27,1168,141,0.354
15,1,bus,0.8684,1465,197,1783,706,1.275
15,2,car,0.6335,456,162,534,255,4.279
15,3,car,0.6852,491,133,551,178,0.0
15,6,car,0.4459,631,125,711,191,0.5
15,7,bus,0.6376,387,98,482,183,0.354
15,9,bus,0.7092,309,114,411,223,1.061
15,4,truck,0.2622,1078,27,1168,140,0.25
16,1,bus,0.8759,1465,197,1784,707,1.0
16,2,car,0.6385,455,160,534,254,4.316
16,3,car,0.6882,491,133,552,178,0.0
16,6,car,0.455,632,125,712,191,0.25
16,7,bus,0.664,387,98,482,184,0.791
16,9,bus,0.7086,309,114,411,221,1.031
16,5,bus,0.3588,3,458,441,1063,3.124
17,1,bus,0.8922,1465,198,1786,711,1.275
17,2,car,0.6265,456,160,534,254,1.521
17,3,car,0.6842,490,133,551,178,0.25
17,6,car,0.414,631,125,710,191,0.5
17,7,bus,0.5668,387,98,479,181,0.354
17,9,bus,0.6302,308,113,409,219,1.275
17,5,bus,0.4446,3,454,444,1063,2.973
18,1,bus,0.8863,1465,199,1788,716,1.82
18,2,car,0.6131,456,160,533,254,0.901
18,3,car,0.6679,490,133,551,178,0.25
18,6,car,0.4204,632,126,710,191,0.25
18,7,bus,0.592,387,98,480,182,0.559
18,9,bus,0.5777,308,113,409,219,0.707
18,5,bus,0.2775,3,449,449,1065,2.843
19,1,bus,0.834,1464,199,1789,720,2.062
19,2,car,0.6031,456,161,533,254,0.354
19,3,car,0.6864,490,133,551,178,0.25
19,6,car,0.4177,632,125,710,190,0.25
19,7,bus,0.645,387,98,480,182,0.25
19,9,bus,0.6999,308,113,408,218,0.901
19,5,bus,0.5318,4,445,453,1063,3.111
20,1,bus,0.8876,1464,199,1791,723,2.372
20,2,car,0.6181,456,161,532,254,0.0
20,3,car,0.6751,490,133,551,178,0.25
20,6,car,0.3949,631,125,709,190,0.559
20,7,bus,0.6596,388,98,481,183,0.25
20,9,bus,0.7165,305,110,407,216,1.414
20,5,bus,0.3393,3,441,456,1065,2.475
21,1,bus,0.9005,1464,200,1793,727,2.372
21,2,car,0.6162,456,161,531,254,0.5
21,3,car,0.6871,490,133,551,178,0.0
21,6,car,0.3999,631,125,709,189,0.25
21,7,bus,0.6498,389,98,481,183,0.559
21,9,bus,0.6933,304,109,407,216,1.25
21,5,bus,0.2609,4,438,461,1066,2.704
22,1,bus,0.9035,1464,201,1794,731,2.372
22,2,car,0.6278,457,162,532,254,0.25
22,3,car,0.696,490,133,551,178,0.0
22,6,car,0.4252,631,124,709,188,0.559
22,7,bus,0.6493,389,98,480,182,0.25
22,9,bus,0.6974,303,108,406,216,1.414
22,5,bus,0.4964,3,433,465,1067,2.658
23,1,bus,0.9013,1465,202,1796,734,2.462
23,2,car,0.6247,458,162,532,253,0.25
23,3,car,0.7098,490,132,551,177,0.25
23,6,car,0.4146,631,125,709,189,0.25
23,7,bus,0.6411,389,97,480,181,0.354
23,9,bus,0.6409,298,107,403,216,2.236
23,5,bus,0.4288,4,430,470,1068,2.574
24,1,bus,0.9107,1465,203,1796,736,2.136
24,2,car,0.625,458,162,531,252,0.0
24,3,car,0.6945,490,132,551,177,0.25
24,6,car,0.4207,630,125,708,189,0.25
24,7,bus,0.6933,389,97,479,181,0.25
24,9,bus,0.6889,296,106,402,217,1.82
24,5,bus,0.6335,3,426,471,1066,2.658
25,1,bus,0.92,1465,203,1798,740,2.136
25,2,car,0.6427,458,161,531,251,0.354
25,3,car,0.6826,490,133,551,178,0.0
25,6,car,0.4158,630,125,708,189,0.25
25,7,bus,0.7385,389,97,479,180,0.559
25,9,bus,0.7217,294,105,401,216,2.062
25,5,bus,0.6544,3,423,472,1064,2.574
26,1,bus,0.9198,1466,203,1801,744,2.016
26,2,car,0.6173,457,160,530,251,0.791
26,3,car,0.7305,490,133,551,178,0.0
26,6,car,0.4722,631,124,708,188,0.25
26,7,bus,0.7136,389,98,479,181,0.25
26,9,bus,0.7313,292,105,399,215,2.305
26,5,bus,0.6751,3,421,474,1064,2.236
26,4,truck,0.2801,1080,27,1170,141,0.143
27,1,bus,0.9192,1466,204,1802,748,2.236
27,2,car,0.6348,456,159,530,250,0.901
27,3,car,0.7299,490,133,551,177,0.25
27,6,car,0.4614,631,123,709,187,0.5
27,7,bus,0.7629,389,98,478,181,0.25
27,9,bus,0.7165,290,105,397,216,1.768
27,5,bus,0.8198,2,418,476,1065,2.062
27,4,truck,0.2612,1080,28,1169,142,0.16
28,1,bus,0.9284,1466,204,1803,751,2.236
28,2,car,0.6254,457,159,531,250,0.75
28,3,car,0.7108,490,133,551,178,0.25
28,6,car,0.449,630,123,708,187,0.5
28,7,bus,0.7323,390,98,477,178,0.354
28,9,bus,0.7445,289,105,396,215,1.768
28,5,bus,0.7821,1,413,478,1063,2.062
